layer,waypoint,lat,lon,alt_m,speed_mps
L8.0m_A,start,30.899580476943612,120.49941641639688,8.0,1.5
L8.0m_A,end,30.900880476943613,120.50111641526186,8.0,1.5
L8.0m_B,start,30.900719523056388,120.50128358473813,8.0,1.5
L8.0m_B,end,30.899419523056388,120.49958358360311,8.0,1.5
L15.0m_A,start,30.899580476943612,120.49941641639688,15.0,1.5
L15.0m_A,end,30.900880476943613,120.50111641526186,15.0,1.5
L15.0m_B,start,30.900719523056388,120.50128358473813,15.0,1.5
L15.0m_B,end,30.899419523056388,120.49958358360311,15.0,1.5
